date,traffic,orders,conversion_rate,revenue,marketing_spend,operating_cost,refunds,new_customers
2026-07-18,5099,152,2.99,76492.24,13543.04,12667.07,1,109
2026-07-19,5409,168,3.12,85188.7,13633.84,21040.84,5,99
2026-07-20,5308,163,3.08,82850.52,15562.76,14840.43,4,94
2026-07-21,4901,147,3.01,73679.91,14487.7,16837.16,2,95
2026-07-22,4794,144,3.01,71347.53,12296.86,17472.19,5,102
2026-07-23,4866,144,2.97,71137.51,15494.48,13801.76,1,93
2026-07-24,5026,144,2.87,71287.89,15312.77,12010.97,5,101
2026-07-25,4632,135,2.93,66948.07,11989.9,11354.28,1,83
2026-07-26,4358,125,2.87,61701.05,12119.31,12603.65,1,88
2026-07-27,4542,127,2.82,63076.69,11380.08,14605.16,3,88
2026-07-28,4389,122,2.79,60795.42,12424.81,9505.72,2,75
2026-07-29,4560,130,2.86,65663.56,15445.69,12950.27,1,90
2026-07-30,4625,137,2.98,69174.75,13980.14,13333.72,1,78
2026-07-31,4914,146,2.99,73500.8,13829.75,14763.16,5,87
2026-08-01,5204,153,2.94,76406.32,17848.15,17635.5,4,110
2026-08-02,5099,147,2.9,73787.24,17298.66,15047.74,5,107
2026-08-03,4955,142,2.88,70999.08,16440.76,16760.97,1,92
2026-08-04,4664,128,2.76,63729.95,12219.05,11711.11,4,78
2026-08-05,5015,139,2.78,69385.75,17364.17,12154.87,3,84
2026-08-06,5000,139,2.78,71097.7,12757.39,12645.77,5,83
2026-08-07,4993,134,2.69,69305.92,13669.02,15442.86,2,90
2026-08-08,5143,140,2.74,73942.49,13321.86,17267.81,2,82
2026-08-09,5163,139,2.69,72336.62,16238.53,12111.8,4,87
2026-08-10,5177,136,2.63,70556.39,17729.64,16773.65,2,92
2026-08-11,5224,142,2.74,72527.86,13546.37,17386.49,5,96
2026-08-12,5262,138,2.64,69573.71,16974.98,16677.59,5,97
2026-08-13,5118,135,2.66,68259.06,12820.91,11336.52,3,92
2026-08-14,4971,127,2.56,64630.99,15967.74,11228.01,2,88
2026-08-15,5162,133,2.59,68231.09,13388.55,12743.63,2,79
2026-08-16,5553,143,2.59,73605.17,18836.03,15686.28,4,93
2026-08-17,5511,150,2.73,77737.07,17908.17,12876.79,4,111
2026-08-18,5798,149,2.59,76602.7,19437.2,18659.37,3,95
2026-08-19,5845,150,2.58,76372.65,15353.2,16876.05,1,96
2026-08-20,5595,144,2.59,73263.69,19007.97,12700.55,5,96
2026-08-21,5521,133,2.43,67998.97,14214.87,12771.77,2,95
2026-08-22,5613,127,2.27,64020.75,15839.85,14825.36,5,91
2026-08-23,5380,124,2.32,62015.5,13997.07,12415.64,4,87
2026-08-24,5635,130,2.32,65059.48,16787.93,13498.32,4,80
2026-08-25,5576,134,2.42,66250.85,16406.62,11723.11,4,92
2026-08-26,5755,137,2.39,67313.58,18002.32,16788.65,2,93
2026-08-27,5680,133,2.35,64861.06,19065.23,9891.87,5,95
2026-08-28,5635,137,2.43,66273.61,16969.67,10930.61,3,79
2026-08-29,5610,134,2.39,64172.53,16497.04,10681.19,1,83
2026-08-30,5531,129,2.34,61772.69,14593.06,12593.76,2,81
2026-08-31,5386,136,2.54,64021.01,13895.14,10580.38,3,91
2026-09-01,5493,135,2.47,64688.57,18140.89,9845.91,2,83
2026-09-02,5496,133,2.43,64039.45,19060.51,14261.49,2,75
2026-09-03,5261,128,2.45,62103.05,14172.91,9410.05,2,92
2026-09-04,5173,132,2.56,65029.35,13814.41,13139.59,1,94
2026-09-05,5507,149,2.71,72443.84,16231.27,15340.03,4,103
